ID,pKa_pred,pKa_real
2ieo,8.397,8.490
2ig0,4.862,4.710
2igv,2.306,2.230
2igw,1.426,1.310
2ima,6.954,6.520
2imd,7.782,8.300
2ioa,5.668,5.490
2ipo,4.743,5.060
2isc,8.245,8.420
2isv,7.592,7.430
2it4,1.815,1.620
2itk,7.588,7.690
2ito,7.359,6.910
2itp,8.090,7.950
2itt,9.117,8.770
2ity,7.518,7.270
2itz,8.811,8.590
2iu0,6.914,6.890
2iv9,4.421,4.340
2ivu,6.284,6.430
2ivz,6.595,6.040
2iws,6.372,6.360
2iwu,6.080,5.920
2iyf,3.456,3.750
2izx,9.679,9.400
2j3q,5.807,6.150
2j4k,5.078,4.850
2j4q,3.778,4.460
2j6m,8.014,7.960
2j9h,3.166,3.390
2j9l,3.851,4.000
2j9n,4.587,4.700
2ja3,4.076,4.000
2jal,4.730,4.820
2jb5,9.257,9.220
2jb6,11.436,10.960
2jbj,9.645,9.700
2jbk,6.022,6.400
2jbv,3.788,3.540
2jdh,6.316,6.510
2jdk,6.314,6.540
2jdn,5.731,5.560
2jdv,8.392,8.200
2jg8,6.267,6.300
2jiu,7.525,7.560
2jj3,10.163,9.550
2jk7,7.172,7.170
2jk9,7.484,6.820
2jkr,6.542,6.070
2jkt,6.679,6.510
2jmj,5.172,5.040
2jnp,7.147,6.890
2jnw,6.216,6.110
2jo9,4.459,4.280
2joa,5.972,5.960
2jq9,4.529,4.480
2jqi,5.355,5.000
2jqk,3.532,3.400
2jql,6.853,6.520
2jsd,8.326,7.770
2jst,2.587,2.590
2jt5,8.164,7.740
2jt6,7.534,7.600
2jup,4.021,3.810
2k00,4.748,4.620
2k0g,7.239,6.970
2k0x,5.482,5.680
2k1q,6.462,6.220
2k2g,8.608,8.120
2k2r,3.030,2.890
2k3w,5.267,5.240
2k46,4.939,4.580
2k4i,4.024,3.840
2k62,4.898,4.700
2k7l,6.223,6.150
2kaw,4.615,4.970
2kbr,4.832,4.600
2kbs,4.967,5.000
2kce,6.061,6.170
2kdh,2.780,2.960
2ke1,5.213,5.300
2kff,3.605,3.610
2kfg,3.025,2.920
2kfh,2.838,2.620
2kfx,3.672,4.000
2kgi,5.978,6.120
2khh,6.568,6.560
2kmx,4.020,4.080
2knh,5.506,5.150
2ko7,4.728,5.190
2koh,5.829,5.220
2kp8,4.033,4.000
2kpl,6.385,6.640
2krd,2.952,2.700
2ks9,2.118,2.040
2ksa,2.956,3.060
2ksb,3.482,3.120
2ksp,4.590,4.240
2kup,6.043,6.700
2kvm,4.087,3.960
2kwn,5.412,5.130
2kzu,4.556,4.220
2l0i,4.866,4.820
2l11,4.729,4.820
2l12,4.374,4.260
2l1b,4.011,3.960
2l1r,3.710,3.570
2l3r,4.913,4.660
2l65,4.333,4.220
2l6e,5.768,6.000
2l6j,6.719,6.260
2l75,6.006,6.050
2l7u,4.284,3.980
2l84,7.917,7.720
2l8j,5.519,5.520
2l8r,4.009,3.920
2l98,3.268,3.610
2las,5.651,5.740
2lbm,6.674,6.570
2lbv,7.494,7.590
2lcs,6.753,6.700
2lct,5.236,5.140
2lgf,5.530,5.570
2lh8,4.172,4.180
2lha,5.207,5.190
2liq,5.752,5.850
2lk1,4.305,4.090
2lkk,6.466,6.700
2lko,5.586,5.670
2ll6,9.515,10.000
2ll7,9.080,8.800
2llo,5.975,5.820
2llq,5.926,5.820
2lnw,6.058,5.850
2lo6,3.916,3.950
2loz,4.013,4.060
2lp8,7.441,7.520
2lsk,4.967,4.890
2lsp,3.640,3.560
2lsr,5.454,5.240
2lsv,5.527,5.270
2lto,3.339,3.110
2ltv,4.734,5.160
2ltw,4.214,4.220
2ltx,5.350,5.390
2lty,5.564,5.380
2ltz,5.343,5.350
2lwi,3.146,3.110
2lya,4.649,4.190
2lyb,4.426,4.460
2lyw,4.260,4.520
2lzg,7.742,7.770
2m0o,5.056,5.380
2m0u,6.323,6.440
2m0v,5.591,5.970
2m3m,5.164,5.020
2m3o,5.016,5.300
2m3z,6.637,6.570
2m41,4.902,5.100
2mc1,4.250,4.150
2mg5,6.404,6.150
2mji,4.016,4.250
2mkr,6.098,6.270
2mnz,5.070,5.190
2mov,7.469,7.400
2mow,5.912,5.960
2mpa,8.358,8.040
2mpm,5.755,5.890
2mps,5.406,5.410
2ms4,4.758,4.820
2mwo,4.625,4.700
2mwp,6.084,6.050
2mwy,6.814,6.820
2n06,4.920,4.920
2n0u,6.155,6.220
2n0w,6.084,6.150
2n14,5.523,5.330
2n1g,5.717,5.640
2n27,6.489,6.550
2n3k,7.009,6.800
2n7b,3.615,3.550
2n8t,3.388,3.370
2n9e,4.841,5.050
2n9x,6.536,6.400
2nbk,7.769,7.570
2ncz,3.972,3.850
2nd0,3.197,3.200
2ndf,4.315,4.230
2ndg,4.658,4.710
2ndo,3.260,3.250
2nm1,7.465,7.470
2nmb,6.236,6.280
2nmy,8.303,8.370
2nn8,3.706,3.590
2nng,5.516,5.360
2nnk,8.442,8.370
2nno,6.782,6.400
2nnp,8.416,8.370
2nnq,8.817,8.700
2nns,6.399,6.050
2nnv,7.629,7.520
2np9,5.493,5.570
2ntf,6.922,6.520
2nw4,8.560,8.680
2nwl,8.376,8.700
2nwn,6.531,6.300
2nxd,6.005,5.660
2nxl,6.331,6.270
2nxm,4.935,5.190
2o1c,4.883,4.720
2o1v,5.469,5.300
2o22,7.761,7.170
2o2u,6.555,6.400
2o3z,5.750,5.700
2o4h,6.488,6.520
2o7e,6.093,6.220
2o9a,3.766,3.810
2o9j,7.133,6.920
2o9k,4.070,4.110
2o9r,1.813,1.680
2o9v,3.581,3.540
2oa0,6.839,6.920
2oaz,9.148,8.700
2obo,7.713,7.240
2oc0,8.052,7.820
2oc1,5.816,5.370
2oc4,7.411,7.070
2oc7,6.058,5.850
2oc9,8.192,7.960
2odd,3.804,3.960
2oei,3.884,3.910
2ohl,3.047,3.050
2oi3,7.357,6.640
2oi9,5.758,5.700
2oji,7.033,7.070
2ok1,6.528,6.260
2on3,8.687,9.000
2onb,5.674,5.570
2ony,6.519,6.680
2onz,8.649,8.890
2op3,6.117,6.310
2op9,5.801,5.660
2opb,9.208,8.740
2opy,4.551,4.520
2oqi,8.539,8.490
2oqs,6.174,5.890
2oqv,8.334,8.400
2or9,6.452,6.300
2osm,6.614,6.200
2ov4,5.482,4.740
2ovq,7.370,7.150
2ovz,7.427,7.890
2oyk,5.423,5.300
2oyl,6.678,6.300
2oz2,5.713,5.710
2oz6,5.680,5.260
2oz7,8.066,7.850
2p0d,7.087,7.000
2p0x,6.345,6.310
2p3d,6.607,6.740
2p8n,3.072,3.150
2p8o,4.908,4.850
2p93,9.092,8.820
2p94,9.296,9.170
2peh,5.832,5.960
2pem,3.780,3.640
2pfy,6.617,6.520
2ph9,5.521,5.890
2phb,9.434,9.490
2pl0,7.469,7.210
2pl9,4.172,4.170
2pll,8.262,8.300
2pmc,4.050,4.190
2pmk,5.971,5.920
2pnc,3.937,3.330
2pnx,5.174,5.100
2pr9,7.914,7.370
2pri,2.917,2.910
2prj,4.456,4.490
2psj,7.274,7.700
2psx,5.796,5.770
2pu0,7.962,7.820
2puy,4.491,4.520
2pv2,6.311,5.910
2pv3,5.766,5.250
2pvn,9.484,9.460
2pyi,3.765,3.750
2pze,6.137,6.080
2q11,6.348,6.050
2q15,8.064,7.960
2q2c,6.473,6.380
2q2n,6.954,6.480
2q3z,7.207,7.220
2q70,8.175,8.080
2q7o,8.458,7.920
2q7y,3.895,4.300
2q80,4.671,4.600
2q8y,4.163,3.990
2q9y,4.584,4.440
2qf6,6.532,6.490
2qfo,4.814,4.700
2qfu,4.428,4.180
2qhc,8.523,8.960
2qhd,4.886,5.380
2qhm,6.206,6.180
2qic,5.530,5.480
2qki,6.544,6.410
2ql5,8.564,8.100
2ql7,6.673,6.260
2ql9,9.520,9.030
2qlb,6.167,5.890
2qlf,8.980,8.850
2qlj,5.610,5.360
2qlm,5.405,5.640
2qln,5.043,5.430
2qm7,5.714,5.890
2qn3,5.126,5.360
2qnb,5.108,5.340
2qo8,8.569,8.470
2qoa,7.336,7.280
2qp6,6.735,6.680
2qqs,6.422,6.400
2qrg,5.048,5.180
2qrh,4.576,4.710
2qrm,3.995,4.030
2qrp,6.150,6.200
2qrq,4.995,5.100
2qry,8.733,8.640
2qt5,5.064,5.030
2qtr,6.007,5.490
2qtu,9.291,9.280
2qu5,7.697,8.060
2qv7,3.445,3.660
2qx0,6.109,6.110
2r02,5.299,5.100
2r03,5.197,5.150
2r05,5.215,5.150
2r0y,3.318,3.000
2r1w,4.818,4.600
2r1x,5.090,4.800
2r2b,4.578,4.200
2r3y,5.504,5.490
2r5q,8.059,8.570
2r6f,7.713,8.000
2r6w,9.517,9.360
2r6y,9.901,9.490
2r7g,6.296,6.050
2r9b,6.990,6.570
2rcw,8.040,8.100
2rcx,9.062,9.000
2rfy,5.122,5.220
2rk7,4.511,4.050
2rkn,7.352,7.220
2rly,3.728,3.570
2rm0,4.220,4.030
2rnw,2.992,2.980
2rnx,3.431,3.400
2rny,3.682,3.660
2rok,4.126,4.350
2rol,4.770,4.620
2rqu,4.805,4.630
2rr4,4.825,4.780
2rt5,6.390,6.720
2rvn,6.788,6.770
2sfp,1.933,1.700
2srt,6.301,6.640
2toh,3.824,4.150
2tsr,7.609,7.540
2upj,7.565,7.390
2uxu,4.644,4.740
2uxx,3.151,3.300
2uyw,13.541,13.000
2uz6,9.128,8.770
2uzj,4.513,4.570
2v3e,6.553,6.520
2v5x,6.929,6.660
2v7d,6.762,6.590
2v83,4.174,4.470
2v85,4.378,4.460
2v86,4.366,4.460
2v87,4.632,4.600
2v96,4.858,4.540
2vc7,3.524,3.360
2vcb,5.550,5.260
2vfz,3.312,3.610
2vhq,3.722,3.850
2vi5,4.137,3.960
2vl1,1.429,1.350
2vnf,5.497,5.520
2vpg,5.710,5.680
2vr0,4.905,4.420
2vr3,5.141,4.980
2vr4,5.768,5.680
2vwf,5.217,5.060
2vx9,7.465,7.440
2vxa,5.416,5.600
2vxj,3.808,4.170
2w0p,6.143,6.520
2w0s,3.356,3.300
2w0z,3.951,4.030
2w10,6.868,6.770
2w16,10.631,10.000
2w2i,6.055,6.040
2w2u,4.440,4.460
2w3o,6.871,6.720
2w54,7.275,6.980
2w5i,4.386,4.540
2w68,4.586,4.740
2w6t,8.744,8.570
2w6u,5.357,5.000
2w73,6.704,6.520
2w76,5.526,5.000
2w77,9.453,9.190
2w7y,6.243,6.080
2w85,5.103,5.040
2w87,4.725,4.650
2w8f,6.196,6.300
2w8g,6.003,6.000
2w92,4.682,4.550
2w97,1.040,0.960
2w9r,5.333,5.320
2wa8,5.496,5.420
2wap,6.450,6.640
2wcg,6.491,6.380
2wd7,5.310,4.970
2wfj,7.272,7.150
2wgi,4.047,4.070
2wib,4.613,4.930
2wic,5.349,5.390
2wig,3.421,3.430
2wij,3.156,3.200
2wik,3.265,3.180
2wj1,9.040,8.720
2wj2,8.368,8.330
2wji,4.966,5.020
2wk2,7.155,6.820
2wks,7.410,6.890
2wkt,4.087,4.310
2wl4,3.898,4.190
2wl5,4.242,4.520
2wnl,5.897,6.000
2won,6.463,6.200
2wp1,3.509,3.600
2wpb,2.665,2.890
2wq4,2.533,2.570
2wqp,4.951,5.510
2wsx,2.375,2.410
2wtw,8.287,8.190
2wva,10.737,10.700
2ww0,5.195,5.300
2ww2,4.792,4.850
2wyi,4.634,4.740
2wyn,5.344,5.550
2wzy,10.725,10.720
2x2c,7.611,7.720
2x2i,8.789,8.700
2x6w,6.365,7.100
2x6y,4.322,4.590
2x7x,5.572,5.700
2x85,3.611,3.890
2xb9,6.856,6.770
2xcg,8.132,8.050
2xdm,7.769,7.490
2xe4,7.230,7.160
2xg3,4.497,4.740
2xhr,8.214,8.320
2xhs,5.750,6.000
2xhx,6.502,6.600
2xl2,5.505,5.250
2xl3,5.099,5.250
2xn6,9.030,8.800
2xn7,10.078,10.000
2xoi,3.362,3.340
2xpc,3.507,3.900
2xqq,4.555,4.820
2xrw,5.118,5.150
2xs0,5.193,5.150
2xs8,4.638,4.610
2xtn,7.449,7.400
2xto,6.452,6.200
2xuf,14.160,14.390
2xui,14.234,15.000
2xup,12.112,12.390
2xuz,7.136,7.400
2xv1,5.987,5.990
2xwd,6.996,6.960
2xwe,6.402,6.020
2xxn,6.282,6.410
2xxw,6.775,6.410
2xxy,7.750,7.890
2xyn,8.581,8.400
2xz5,4.157,4.010
2xzc,5.363,5.640
2xzq,6.542,6.590
2xzw,5.562,5.290
2y06,6.381,6.100
2y07,6.132,6.220
2y1n,4.929,4.770
2y34,6.984,7.100
2y36,6.145,6.420
2y4k,5.441,5.460
2y4l,6.561,6.300
2y4m,6.733,6.460
2y4s,5.678,6.150
2y54,4.619,4.700
2y56,6.473,6.510
2y57,6.433,6.890
2y58,5.543,5.500
2y6s,6.833,6.990
2y71,7.140,7.370
2y76,6.867,6.360
2y77,6.938,6.600
2y7k,5.263,4.930
2y7p,5.534,5.470
2y7w,4.987,4.980
2y8i,5.984,5.890
2y8l,5.794,5.820
2y8o,5.173,5.120
2y8q,5.745,5.820
2y9g,3.907,3.770
2y9q,6.310,6.150
2ybu,6.582,6.380
2ych,3.058,3.000
2ydf,7.440,7.660
2ydo,7.434,7.510
2ydv,7.713,7.860
2yga,4.354,4.610
2ygu,6.656,6.490
2yhd,4.869,4.640
2yhy,5.617,5.600
2yi5,7.475,7.410
2yim,4.139,3.920
2yiv,3.019,2.780
2yjq,4.628,5.280
2yln,7.455,7.680
2ymt,7.692,8.000
2ynd,8.028,7.490
2yne,8.082,8.570
2ynn,5.324,5.170
2ynr,5.857,5.770
2yns,7.849,7.600
2yof,4.656,4.600
2yog,4.466,4.510
2yoh,4.945,4.960
2yol,7.142,6.890
2ypp,4.359,4.410
2yq6,7.742,7.350
2z3h,4.447,4.640
2z4b,9.489,9.360
2z4r,7.832,7.620
2z5s,5.511,5.660
2z5t,6.006,5.620
2z6w,7.996,7.870
2z7g,9.172,8.950
2z8e,8.049,8.000
2z92,8.817,9.100
2z97,5.738,6.000
2za3,3.877,3.680
2zbk,5.846,5.700
2zg1,2.211,2.100
2zg3,2.223,2.060
2zgm,1.856,1.790
2zhd,6.650,6.540
2zif,4.557,4.370
2zit,4.389,4.460
2zju,5.587,5.810
2zjv,5.238,5.140
2zmd,7.109,7.010
2zns,6.771,6.540
2znt,9.090,9.300
2znu,8.248,8.110
2zo3,10.470,10.000
2zpk,8.348,7.760
2zq1,6.680,6.620
2zsc,6.820,7.060
2zu3,6.250,6.100
2zu4,7.579,7.420
2zu5,7.298,7.000
2zx5,12.598,12.330
2zx9,10.603,10.270
2zxa,8.766,8.350
2zxb,5.306,5.300
2zyn,5.952,5.920
2zz6,7.169,6.720
3a1s,5.037,4.830
3a1t,4.949,4.830
3a2c,7.109,6.900
3a3y,9.154,9.150
3aav,6.444,6.620
3ad7,2.444,2.520
3ad8,3.341,3.160
3ads,5.007,5.010
3adt,4.317,4.550
3adu,3.828,4.140
3adv,2.943,3.030
3afk,3.928,3.600
3aje,5.184,5.030
3al3,5.836,5.680
3ama,6.936,6.530
3amb,6.330,6.180
3amv,8.428,7.970
3ao1,2.446,2.260
3aox,9.158,9.080
3ap7,2.799,3.000
3aqa,4.509,4.550
3arb,7.018,6.630
3ard,6.896,6.760
3are,6.546,6.210
3arf,7.361,7.190
3arg,7.249,7.260
3art,4.290,4.430
3aru,3.329,3.220
3ary,5.793,6.000
3arz,6.141,6.000
3as0,4.657,4.550
3ask,6.714,6.430
3asl,5.882,5.760
3at1,3.042,3.180
3atp,4.371,4.450
3atu,8.277,8.300
3atv,5.569,5.340
3au6,7.538,7.920
3ax5,5.760,5.850
3axk,4.064,4.150
3axm,5.165,5.070
3ay0,2.994,3.040
3ay9,8.110,8.340
3aya,4.270,4.330
3ayc,4.155,4.240
3ayd,4.123,4.190
3az8,6.297,6.000
3az9,5.881,6.000
3b28,8.318,8.470
3b2t,5.138,5.210
3b5j,5.626,5.680
3b78,4.199,4.100
3b82,4.295,4.430
3b8h,4.271,4.200
3b95,5.116,5.150
3b9g,4.916,4.720
3bar,5.511,5.700
3bb1,3.455,3.600
3bc3,7.065,6.810
3bcs,5.005,5.210
3bf1,2.424,2.520
3bgp,6.860,7.040
3bh3,5.998,6.150
3bho,5.531,5.610
3bim,5.637,5.880
3bjm,7.810,8.300
3bl2,5.580,5.800
3blr,7.983,8.190
3blt,3.382,3.540
3blu,3.322,3.460
3bm6,7.551,7.590
3bm8,3.656,3.540
3bmn,4.327,4.460
3bmo,5.293,5.270
3bmq,5.349,5.490
3bt9,5.386,5.710
3btc,5.537,5.750
3bti,6.294,6.140
3btj,5.789,5.620
3btl,5.869,5.960
3btr,5.690,5.300
3bu6,5.364,5.890
3bu8,7.263,6.920
3bum,6.622,6.490
3bun,6.523,6.210
3buo,6.244,6.060
3buw,6.087,5.830
3bux,5.674,5.630
3bwk,3.949,3.940
3bxs,5.461,5.100
3bxz,6.762,6.720
3bze,6.395,6.000
3bzi,5.675,5.740
3c14,3.517,3.520
3c1k,9.682,9.440
3c1n,5.619,5.500
3c3o,4.473,4.360
3c3q,4.578,4.320
3c3r,4.485,4.390
3c49,7.233,7.150
3c6w,5.561,5.620
3c7n,7.007,6.700
3c8e,4.252,4.150
3c94,6.695,6.870
3c9e,7.849,8.000
3caj,8.060,8.100
3ce0,6.100,6.150
3cen,8.177,8.260
3cf1,6.608,6.640
3cfs,6.280,5.960
3cfv,6.274,6.050
3cgy,2.957,3.150
3chg,3.943,3.990
3cii,6.258,6.100
3ck7,3.907,4.050
3ck8,3.929,3.840
3ckr,5.440,5.300
3ckt,6.425,6.320
3cl2,7.844,7.590
3clp,3.694,3.690
3coj,5.342,5.280
3cph,6.558,6.480
3cpj,4.506,4.720
3cr4,4.025,4.280
3cr5,4.118,4.190
3csl,7.190,7.220
3ctr,4.895,5.160
3cwk,6.219,6.600
3cx9,5.547,4.890
3cyu,7.513,7.220
3cyy,4.729,4.770
3d1e,5.835,5.770
3d1f,5.907,5.740
3d1g,5.598,5.000
3d1v,3.696,3.490
3d20,8.074,8.300
3d2r,5.345,5.480
3d2t,7.199,7.120
3d32,6.706,6.450
3d45,5.820,5.680
3d4f,7.619,7.720
3d67,5.203,4.960
3d6q,3.751,3.760
3d7b,3.759,3.690
3d7m,6.346,6.440
3d8y,3.534,3.400
3d9k,4.919,4.720
3d9l,4.120,4.170
3d9m,3.756,3.480
3d9n,4.113,4.050
3d9o,2.556,3.000
3d9p,4.560,4.540
3d9v,8.385,8.220
3dab,6.950,6.680
3dba,8.180,8.000
3dcs,8.234,7.940
3dcw,9.095,9.000
3dgl,6.663,6.600
3dgn,6.338,6.210
3dhk,7.038,7.330
3diw,6.601,6.720
3dkj,5.783,5.700
3dnj,6.570,6.820
3dnt,5.120,4.740
3dow,5.095,4.940
3dpc,4.485,4.360
3dpo,8.566,8.260
3ds0,4.876,4.830
3ds1,5.517,5.700
3ds3,5.486,5.220
3ds4,4.384,4.190
3ds9,7.480,7.390
3dst,8.643,9.080
3dsu,7.017,7.030
3dux,6.952,7.000
3dvp,5.214,5.000
3dx0,7.386,7.440
3dxh,3.104,3.190
3e0p,7.800,7.920
3e16,5.021,5.240
3e1r,6.299,5.820
3e64,7.063,7.110
3e6k,5.457,5.150
3e6v,6.913,6.830
3e73,3.317,3.150
3e81,1.366,1.430
3e85,5.130,5.380
3e8r,9.915,9.740
3e8u,9.655,9.420
3e90,7.442,7.390
3e9b,5.438,5.350
3e9h,7.697,7.550
3e9i,5.828,6.220
3ebb,5.251,5.300
3efj,7.872,7.410
3efk,8.025,7.850
3efr,5.277,5.080
3efs,5.363,5.340
3eg6,6.161,5.770
3egk,4.605,4.660
3ehn,1.961,1.920
3ekq,6.341,6.750
3eks,5.906,5.700
3eky,9.299,9.640
3el0,7.284,7.470
3elm,9.654,9.720
3emh,7.029,6.850
3eml,8.940,8.740
3eor,1.408,1.400
3eos,8.226,8.400
3eou,6.782,7.010
3eov,7.479,7.200
3eqs,8.709,8.480
3eqy,8.077,8.050
3er5,8.768,9.000
3erd,10.242,9.900
3ern,1.851,1.720
3ert,9.520,9.600
3esj,2.742,3.030
3eu5,7.759,7.490
3eu7,6.209,6.180
3evc,6.692,6.910
3evf,7.043,6.770
3ew2,7.269,6.670
3ex6,3.589,3.660
3exf,6.731,6.540
3eyd,9.979,9.700
3eyf,7.079,7.030
3eys,5.695,5.520
3eyu,8.194,7.620
3f0r,6.884,6.890
3f35,2.968,3.160
3f36,2.816,2.890
3f38,2.647,2.620
3f39,1.880,1.780
3f3u,4.692,4.740
3f9w,5.183,4.720
3f9y,4.852,4.490
3fa3,5.751,5.600
3faa,7.960,8.150
3fbr,4.585,4.820
3fdm,8.252,8.700
3fdt,4.371,4.520
3fe7,7.118,7.120
3fea,7.914,7.440
3feg,4.474,4.350
3ffu,6.761,6.440
3fgc,3.887,3.920
3fkv,7.464,7.570
3fn0,4.321,4.400
3fnm,4.510,4.710
3fsj,4.186,3.950
3fsm,6.827,7.000
3ftq,5.140,5.330
3fvg,7.192,6.890
3fw4,9.315,9.400
3fxb,5.941,5.850
3g08,8.200,8.160
3g0f,7.622,7.660
3g15,7.184,7.000
3g2h,3.725,3.820
3g2i,4.573,4.860
3g2j,4.744,4.750
3g2k,4.732,4.790
3g2l,3.809,3.870
3g2s,6.454,6.220
3g2t,7.555,7.000
3g2u,5.417,5.270
3g2v,6.434,6.520
3g2w,5.757,5.660
3g3d,4.518,4.740
3g3m,5.711,5.960
3g5v,8.081,7.800
3g5y,7.567,7.460
3g6m,1.687,1.710
3g7l,6.830,6.720
3g8e,5.651,5.350
3g90,6.248,6.360
3g9l,6.551,6.130
3g9n,6.354,5.740
3gbq,5.268,5.460
3gcq,6.517,6.470
3gcv,7.176,7.130
3gds,6.534,6.510
3gep,3.606,3.750
3gf2,1.912,1.700
3ggc,5.114,5.440
3ggj,6.091,6.000
3ggv,10.814,10.850
3ggw,5.584,5.540
3ghe,6.250,5.890
3gjd,7.168,7.330
3gjq,5.731,5.330
3gjs,5.612,4.990
3gjt,7.552,6.770
3gk2,2.859,2.700
3gk4,3.960,3.920
3gl6,4.769,4.680
3gn7,8.424,8.300
3gp0,7.569,7.440
3gpe,5.897,5.740
3gpj,5.321,5.110
3gpo,5.177,5.300
3gqo,5.467,5.410
3grj,3.416,3.000
3gsg,2.571,2.700
3guz,4.724,4.380
3gv6,3.262,3.300
3gws,10.422,10.090
3gxt,4.639,4.740
3gxy,5.044,5.590
3gxz,7.554,7.890
3h0a,7.159,7.480
3h1z,4.491,4.660
3h52,5.061,4.850
3h6z,5.628,5.820
3h85,5.770,5.220
3h8c,8.065,7.720
3h91,3.816,3.730
3h9k,7.965,7.850
3hau,6.449,6.380
3hav,3.542,3.770
3haw,6.000,6.000
3hbo,5.092,5.090
3hdk,5.002,4.760
3hfv,4.842,4.870
3hfz,4.762,4.890
3hg1,4.983,4.740
3hii,6.653,6.540
3hik,6.790,6.350
3hio,6.729,6.520
3hiv,7.940,8.120
3hiw,8.170,8.060
3hjo,6.671,6.520
3hlo,6.231,6.210
3hpt,8.424,8.190
3hqh,4.149,4.200
3hqr,5.396,5.520
3hrf,5.105,4.990
3hs8,5.276,5.300
3hs9,6.322,6.310
3hu1,6.691,6.890
3hu2,7.215,7.220
3hv7,8.103,7.920
3hwx,8.333,7.860
3hx3,7.316,8.000
3hxi,6.258,6.330
3hy5,7.320,7.700
3hzy,6.839,7.000
3i02,7.476,7.520
3i3d,1.865,1.990
3i4a,4.173,4.280
3i5r,4.501,4.400
3i6c,5.406,4.920
3i8t,3.400,3.220
3i90,3.501,3.300
3i91,3.436,3.300
3iaf,3.019,2.920
3iaw,5.855,5.800
3ibc,4.953,4.910
3ie3,6.658,6.680
3ieo,6.204,6.480
3iet,7.005,6.850
3if7,7.305,7.210
3ifo,7.252,7.260
3ifp,8.132,7.610
3iiw,4.369,4.440
3iiy,4.772,4.800
3ij0,4.906,4.880
3ij1,4.804,4.700
3ijg,4.820,4.270
3ijy,6.285,6.040
3ijz,5.156,5.220
3ik1,5.036,4.850
3ikc,7.372,7.460
3ilq,5.303,5.210
3img,3.016,2.960
3imy,10.098,9.700
3io7,7.716,7.770
3ioi,6.720,6.280
3iok,8.085,7.960
3ipa,6.084,6.220
3ips,7.697,7.190
3iqg,4.735,4.600
3iqh,4.580,4.590
3iqi,4.471,4.410
3iqj,5.023,4.930
3iqq,5.725,5.540
3iqv,5.342,5.180
3isw,4.203,4.050
3itc,1.535,1.600
3ith,7.475,8.100
3iuc,5.585,5.660
3iux,7.496,7.600
3ivq,4.164,4.120
3iw8,4.938,4.870
3iwy,7.041,7.280
3ixg,7.419,7.570
3jpx,3.692,3.630
3jq7,6.057,5.920
3jq8,4.154,4.460
3jq9,6.086,6.400
3jqa,4.764,4.460
3jqb,5.739,6.020
3jqf,4.166,4.460
3jqg,5.006,4.740
3juq,4.920,4.910
3jvk,3.771,3.930
3jwq,7.571,7.600
3jwr,8.022,8.070
3jxw,9.053,9.000
3jy9,8.708,9.000
3jyj,5.728,5.740
3jzg,4.266,4.400
3k05,4.748,4.850
3k0h,4.665,4.600
3k0k,5.259,5.430
3k15,4.780,4.920
3k16,5.630,5.800
3k26,3.628,3.400
3k27,4.521,4.440
3k41,1.127,0.820
3k54,9.543,9.000
3k5i,5.066,4.700
3k7f,7.618,7.700
3k83,7.712,7.660
3k84,8.602,8.520
3k8d,5.486,5.770
3ka2,6.819,6.620
3kcf,7.918,7.460
3kck,8.896,9.100
3kd7,3.839,3.700
3kej,6.986,7.120
3khv,2.003,1.850
3kid,3.292,3.180
3kme,6.205,6.140
3kmm,9.261,9.700
3kpu,3.270,3.160
3kpv,3.794,3.740
3kpw,4.456,4.850
3kqb,9.303,9.300
3kqc,8.699,8.660
3kqd,9.943,9.400
3kqe,8.644,8.090
3kqm,4.171,3.770
3kqo,3.962,3.850
3kqp,3.477,3.420
3kqs,4.833,5.200
3kqt,5.146,5.340
3kqw,4.015,4.010
3kqy,4.740,4.820
3kr0,4.542,4.700
3kr1,5.668,5.740
3kr2,5.109,5.140
3kr5,8.150,7.890
3krd,8.080,8.170
3ktr,6.119,6.150
3kyf,6.737,6.780
3kyg,7.599,7.460
3kze,3.919,3.950
3l08,10.441,10.220
3l1n,5.676,5.630
3l1s,8.623,8.700
3l2y,4.417,4.490
3l3q,7.245,7.270
3l4t,5.537,5.420
3l5b,4.051,3.910
3l6h,5.707,5.400
3l6x,4.476,4.400
3l79,2.317,2.460
3l7c,2.345,2.440
3l7d,2.174,2.180
3l7g,3.256,3.300
3l81,4.498,4.530
3l8s,7.361,7.000
3l8x,8.357,8.000
3lc3,5.222,5.230
3lc5,6.591,6.570
3lcu,3.573,3.520
3lcv,4.267,4.740
3ldw,7.773,7.970
3le8,6.100,6.070
3lf0,5.679,5.710
3lgl,6.455,6.050
3lgp,8.681,8.700
3lhj,9.237,9.510
3lhs,9.278,9.000
3li2,9.152,9.000
3lik,8.894,8.720
3lil,7.603,8.080
3ljj,6.553,6.520
3ll8,6.231,6.400
3llm,4.490,4.740
3lm1,4.921,4.700
3lnj,7.256,6.660
3lnz,9.667,9.310
3loo,6.368,6.070
3lox,8.332,8.100
3lq4,5.383,5.220
3lqi,5.040,5.160
3lqj,5.653,5.370
3lrh,7.243,7.350
3luo,6.694,6.950
3lxo,4.683,4.820
3lzv,10.821,10.590
3m17,7.198,7.400
3m2u,6.798,7.000
3m3e,4.414,4.430
3m3o,3.682,3.600
3m3r,5.737,6.320
3m53,5.649,5.310
3m54,6.121,5.890
3m55,6.310,6.210
3m56,4.354,4.150
3m57,5.883,5.400
3m58,5.652,5.480
3m59,5.445,5.240
3m5a,5.001,4.960
